Instance16:2640504=7.687363,460402=9.381328,4570722=7.219958,2510348=7.268625,60026=7.95327,1410301=7.150123,6760040=7.179959,430471=7.110848,7040541=9.569076,5720097=7.78492,130148=7.187411,580435=7.49988,510390=8.550673,2030070=7.215682,3870487=7.117436,50398=7.41349,3290136=12.349635,430048=9.628303,2350441=7.056247,770446=7.400117,770110=8.647974,1230403=9.325517,1780750=7.645211,6940400=7.3192,2260725=8.437083,1740750=7.651554,1050280=8.960474,3520164=7.141225,1570022=7.136223,4760026=7.133514,5550347=8.304794,2480014=7.748715,1190113=7.860631,2030131=7.064633,5390100=7.150982,2940408=7.202333,6450746=7.549959,Class=Endothetial24hrIFNa2a,4760592=7.609539,1500315=7.899117,6450707=9.57279,2120411=8.007852,1500026=9.289367
Instance17:2640504=7.787622,460402=9.2857,4570722=7.112859,2510348=7.378702,60026=7.988284,1410301=7.098171,6760040=7.310569,430471=7.144324,7040541=9.476414,5720097=7.935999,130148=7.102199,580435=7.137759,510390=8.445625,2030070=7.174926,3870487=7.137192,50398=7.288728,3290136=12.983321,430048=9.507977,2350441=7.05798,770446=7.32347,770110=8.54114,1230403=9.351057,1780750=7.60913,6940400=7.324877,2260725=8.663649,1740750=7.8879,1050280=8.872242,3520164=7.27822,1570022=7.120946,4760026=7.00686,5550347=8.408637,2480014=8.011261,1190113=7.634363,2030131=7.208411,5390100=7.269875,2940408=7.173468,6450746=7.335979,Class=Endothetial24hrIFNa2a,4760592=7.674689,1500315=7.899785,6450707=9.612163,2120411=8.034895,1500026=9.40414
Instance18:2640504=7.757692,460402=9.311069,4570722=7.204095,2510348=7.305569,60026=7.798015,1410301=7.279916,6760040=7.303841,430471=7.19577,7040541=9.488625,5720097=7.741402,130148=7.056101,580435=7.424928,510390=8.493928,2030070=7.259958,3870487=7.167194,50398=7.417966,3290136=12.568598,430048=9.497301,2350441=6.954272,770446=7.305355,770110=8.463047,1230403=8.847335,1780750=7.587441,6940400=7.281062,2260725=8.524865,1740750=7.787874,1050280=8.88278,3520164=7.277132,1570022=7.210316,4760026=7.020779,5550347=8.358589,2480014=7.94679,1190113=7.849681,2030131=7.256478,5390100=7.263454,2940408=7.224827,6450746=7.448739,Class=Endothetial24hrIFNa2a,4760592=7.695504,1500315=7.946064,6450707=9.643107,2120411=8.075704,1500026=9.171928
Instance19:2640504=7.494681,460402=8.976719,4570722=6.97575,2510348=7.235309,60026=8.089921,1410301=7.017326,6760040=7.291128,430471=7.408066,7040541=8.311153,5720097=7.487771,130148=7.249705,580435=7.131918,510390=9.071236,2030070=7.159501,3870487=7.014044,50398=7.512319,3290136=10.202403,430048=7.40902,2350441=7.182206,770446=7.225148,770110=8.517223,1230403=10.403225,1780750=7.570237,6940400=7.284594,2260725=7.622692,1740750=7.682878,1050280=9.912361,3520164=7.15433,1570022=8.00436,4760026=6.976423,5550347=8.343921,2480014=7.987276,1190113=7.832992,2030131=7.370685,5390100=7.460541,2940408=7.317175,6450746=7.844319,Class=Colon24hrC,4760592=6.989493,1500315=8.233415,6450707=7.309783,2120411=8.053014,1500026=7.966742
Instance20:2640504=7.470538,460402=8.932135,4570722=7.268145,2510348=7.402931,60026=8.087694,1410301=7.210221,6760040=7.244058,430471=7.234671,7040541=8.342995,5720097=7.192695,130148=7.209122,580435=7.265033,510390=9.320771,2030070=7.087937,3870487=6.983396,50398=7.407046,3290136=10.125931,430048=7.408866,2350441=7.097415,770446=7.338627,770110=8.67377,1230403=10.177334,1780750=7.649424,6940400=7.057432,2260725=7.669985,1740750=7.68445,1050280=9.974366,3520164=7.151328,1570022=8.079292,4760026=7.146238,5550347=8.449063,2480014=8.07038,1190113=7.87109,2030131=7.263118,5390100=7.409421,2940408=7.235688,6450746=7.87628,Class=Colon24hrC,4760592=7.275807,1500315=8.224713,6450707=7.331259,2120411=8.06614,1500026=7.893401
Instance21:2640504=7.489867,460402=8.998518,4570722=7.11497,2510348=7.414841,60026=8.167084,1410301=6.999897,6760040=7.431956,430471=7.273056,7040541=8.256114,5720097=7.487168,130148=6.978336,580435=7.301987,510390=9.232544,2030070=7.187251,3870487=6.959114,50398=7.476132,3290136=10.146507,430048=7.343394,2350441=7.220504,770446=7.327684,770110=8.725566,1230403=10.299682,1780750=7.505081,6940400=7.289144,2260725=7.776891,1740750=7.627762,1050280=9.987965,3520164=7.127975,1570022=8.142037,4760026=7.12556,5550347=8.28049,2480014=8.041196,1190113=7.766664,2030131=7.221161,5390100=7.318616,2940408=7.340528,6450746=7.899563,Class=Colon24hrC,4760592=7.183613,1500315=8.358923,6450707=7.272602,2120411=8.132132,1500026=7.959779
Instance22:2640504=7.592829,460402=8.646713,4570722=7.034336,2510348=7.21711,60026=8.291152,1410301=7.060462,6760040=7.276079,430471=7.645692,7040541=8.021456,5720097=7.257809,130148=7.213813,580435=7.356039,510390=9.313022,2030070=7.224688,3870487=7.20247,50398=7.522947,3290136=10.427125,430048=7.593287,2350441=7.232854,770446=7.330779,770110=7.850815,1230403=10.237789,1780750=7.552204,6940400=7.255348,2260725=7.482751,1740750=7.647908,1050280=10.353782,3520164=6.897581,1570022=8.754731,4760026=7.073902,5550347=8.857381,2480014=8.171572,1190113=7.817841,2030131=7.285612,5390100=7.434377,2940408=7.260037,6450746=7.742793,Class=Colon4hrIFNa2a,4760592=7.025876,1500315=8.114926,6450707=7.313647,2120411=8.23937,1500026=7.73501
Instance23:2640504=7.486527,460402=8.648361,4570722=7.113124,2510348=7.244089,60026=8.10731,1410301=7.037884,6760040=7.319098,430471=7.559601,7040541=8.066868,5720097=7.368678,130148=7.013929,580435=7.331887,510390=9.301271,2030070=6.998799,3870487=7.019993,50398=7.694978,3290136=10.294105,430048=7.671942,2350441=7.323171,770446=7.207106,770110=7.849681,1230403=10.420314,1780750=7.554669,6940400=7.272269,2260725=7.65171,1740750=7.362622,1050280=10.206137,3520164=7.239466,1570022=8.639485,4760026=7.162896,5550347=8.645981,2480014=7.926148,1190113=7.747242,2030131=7.22799,5390100=7.612258,2940408=7.248947,6450746=7.640137,Class=Colon4hrIFNa2a,4760592=7.084859,1500315=8.030623,6450707=7.288431,2120411=8.364157,1500026=7.620447
Instance24:2640504=7.505666,460402=8.710018,4570722=7.107334,2510348=7.233172,60026=8.194007,1410301=7.090461,6760040=7.382816,430471=7.712978,7040541=8.048255,5720097=7.508562,130148=7.157861,580435=7.271883,510390=9.32737,2030070=7.054888,3870487=6.964125,50398=7.562095,3290136=10.436684,430048=7.565402,2350441=7.140013,770446=7.366592,770110=7.81632,1230403=10.134582,1780750=7.511526,6940400=7.241259,2260725=7.524094,1740750=7.626392,1050280=10.119338,3520164=7.180779,1570022=8.700907,4760026=7.090685,5550347=8.842624,2480014=8.135181,1190113=7.838787,2030131=7.284782,5390100=7.474095,2940408=7.276107,6450746=7.802194,Class=Colon4hrIFNa2a,4760592=7.141889,1500315=8.107556,6450707=7.292632,2120411=8.28339,1500026=7.526588
Instance25:2640504=7.455356,460402=8.854377,4570722=7.134044,2510348=7.347765,60026=8.116527,1410301=7.231763,6760040=7.222131,430471=7.347522,7040541=8.266351,5720097=7.625054,130148=7.03568,580435=7.329845,510390=9.210821,2030070=7.124649,3870487=7.116161,50398=7.479743,3290136=10.174062,430048=7.328043,2350441=7.224149,770446=7.25842,770110=8.666759,1230403=10.340074,1780750=7.567649,6940400=7.319667,2260725=7.624082,1740750=7.630031,1050280=9.740524,3520164=7.237608,1570022=7.933929,4760026=7.133012,5550347=8.323373,2480014=8.097035,1190113=7.811958,2030131=7.231161,5390100=7.604023,2940408=7.102307,6450746=7.870256,Class=Colon24hrIFNa2a,4760592=7.142219,1500315=8.277293,6450707=7.193978,2120411=8.168777,1500026=7.861958
