Instance30:'219691_at'=26.7048774844272,'215485_s_at'=112.884351254922,'205114_s_at'=101.401472141189,'204655_at'=45.970550988111,'208864_s_at'=522.751882197807,'220091_at'=23.6732614698449,'205569_at'=218.456007488677,'219424_at'=44.1302939842068,'214486_x_at'=294.308356434532,'202643_s_at'=712.11563634328,'209508_x_at'=202.149956527912,'203149_at'=66.9774216521587,'203358_s_at'=249.664392171345,'205590_at'=366.855694929902,'206026_s_at'=17.9801412362777,'221477_s_at'=80.687394396832,'204439_at'=26.9595701765949,'211317_s_at'=136.245314226632,'203595_s_at'=122.907299236007,'201502_s_at'=2410.73938487382,'208436_s_at'=49.667016378173,'204385_at'=115.702721629192,'211316_x_at'=393.201989435575,'203882_at'=649.056780525634,'208485_x_at'=349.349612760416,'202086_at'=72.4667666731974,'207535_s_at'=232.92423183648,'204490_s_at'=1130.07010021581,'204415_at'=37.2050392279422,'202644_s_at'=1833.68023396003,'215223_s_at'=242.7374018208,'1405_i_at'=14.4792465960221,'206025_s_at'=17.6779695233967,'205226_at'=16.7486849823726,'32541_at'=18.0999798631364,'212960_at'=40.4823180459313,'213098_at'=87.99389825837,Class=conventionalTcells,'210663_s_at'=60.0558794200131,'202907_s_at'=201.577009464364,'218656_s_at'=13.297755491917,'210029_at'=62.8696791998607,'211862_x_at'=447.456879631784,'212841_s_at'=47.8069296732952,'215299_x_at'=74.287095158013
Instance31:'219691_at'=32.0658649255225,'215485_s_at'=133.726360782177,'205114_s_at'=137.176676338031,'204655_at'=32.9879631549096,'208864_s_at'=139.360935856481,'220091_at'=30.3984724129433,'205569_at'=64.9441062453009,'219424_at'=35.9932652202687,'214486_x_at'=119.877559503901,'202643_s_at'=909.987991195497,'209508_x_at'=92.7576603318391,'203149_at'=89.7144580172444,'203358_s_at'=283.187510610718,'205590_at'=194.781070021691,'206026_s_at'=23.1757836329712,'221477_s_at'=44.9958209204859,'204439_at'=19.5865091182623,'211317_s_at'=62.6066019305188,'203595_s_at'=68.4787765636044,'201502_s_at'=2511.12265035834,'208436_s_at'=126.566755432022,'204385_at'=112.494964320051,'211316_x_at'=148.075391790057,'203882_at'=233.307435789652,'208485_x_at'=143.059938905321,'202086_at'=113.107811495785,'207535_s_at'=149.862218006412,'204490_s_at'=2089.44019695443,'204415_at'=44.675112593582,'202644_s_at'=2210.14603268761,'215223_s_at'=290.96598183276,'1405_i_at'=17.2589793619669,'206025_s_at'=17.5069374344149,'205226_at'=15.7933685451658,'32541_at'=37.4596702809479,'212960_at'=43.1440121858745,'213098_at'=112.976080630456,Class=conventionalTcells,'210663_s_at'=52.1885673772138,'202907_s_at'=103.749629542781,'218656_s_at'=14.2932168161015,'210029_at'=59.1829908980115,'211862_x_at'=195.367379435718,'212841_s_at'=65.7429144924312,'215299_x_at'=99.9851856270136
Instance32:'219691_at'=22.9150140536961,'215485_s_at'=112.848418480628,'205114_s_at'=93.8950401518758,'204655_at'=33.5415064221354,'208864_s_at'=188.199095284435,'220091_at'=22.8193958159495,'205569_at'=83.5244511046419,'219424_at'=38.5534971237676,'214486_x_at'=136.604676126084,'202643_s_at'=980.26942500961,'209508_x_at'=110.256655881178,'203149_at'=76.2798157962968,'203358_s_at'=617.849696768907,'205590_at'=818.246323478706,'206026_s_at'=24.5100552688364,'221477_s_at'=62.3960325013458,'204439_at'=21.7304891797903,'211317_s_at'=60.1196991560881,'203595_s_at'=63.0788059584597,'201502_s_at'=2421.35620619198,'208436_s_at'=105.80563572977,'204385_at'=107.291510436237,'211316_x_at'=213.539739225687,'203882_at'=284.480268264639,'208485_x_at'=189.010708848867,'202086_at'=108.967721708601,'207535_s_at'=205.299125013423,'204490_s_at'=1891.02452409956,'204415_at'=45.8466863212505,'202644_s_at'=2632.3291485863,'215223_s_at'=256.19478220979,'1405_i_at'=14.8267736259076,'206025_s_at'=16.6470287825751,'205226_at'=19.2806797286098,'32541_at'=31.17251626857,'212960_at'=37.897134089169,'213098_at'=89.3077308129368,Class=conventionalTcells,'210663_s_at'=61.5543811495629,'202907_s_at'=128.166793143241,'218656_s_at'=11.5125746237219,'210029_at'=68.8838500117985,'211862_x_at'=209.956116509157,'212841_s_at'=50.8463022086066,'215299_x_at'=96.0672951851802
Instance33:'219691_at'=24.8392781107607,'215485_s_at'=117.866423480706,'205114_s_at'=125.28095112888,'204655_at'=49.4258630469328,'208864_s_at'=150.542064401595,'220091_at'=23.9403012957577,'205569_at'=61.4990457721426,'219424_at'=40.4116407365213,'214486_x_at'=193.677879265625,'202643_s_at'=1082.62160485297,'209508_x_at'=111.523719653504,'203149_at'=77.2321500988896,'203358_s_at'=556.966211716652,'205590_at'=663.661670208941,'206026_s_at'=21.0072309591293,'221477_s_at'=56.625186838421,'204439_at'=23.9016027626686,'211317_s_at'=84.7694912130848,'203595_s_at'=58.9053334940942,'201502_s_at'=2387.67076757901,'208436_s_at'=112.989996351615,'204385_at'=114.965294060851,'211316_x_at'=243.707289732483,'203882_at'=266.641310508686,'208485_x_at'=220.9597648524,'202086_at'=108.351258295682,'207535_s_at'=138.877834146603,'204490_s_at'=2055.9440908542,'204415_at'=50.1888017708363,'202644_s_at'=2569.93402826822,'215223_s_at'=259.237420155423,'1405_i_at'=21.3849744308781,'206025_s_at'=14.5461098743518,'205226_at'=16.4090577161549,'32541_at'=29.7630083264689,'212960_at'=42.0171122841003,'213098_at'=103.496514738086,Class=conventionalTcells,'210663_s_at'=53.4999047865952,'202907_s_at'=85.3639578707758,'218656_s_at'=13.9091991909639,'210029_at'=59.128971193739,'211862_x_at'=260.210718226338,'212841_s_at'=57.3474522292459,'215299_x_at'=82.6984859289379
Instance34:'219691_at'=22.0270216247958,'215485_s_at'=103.435382684988,'205114_s_at'=133.680965760205,'204655_at'=27.4802860982773,'208864_s_at'=168.28117218964,'220091_at'=24.6226438912977,'205569_at'=51.7542483366533,'219424_at'=35.2465988471557,'214486_x_at'=160.097509218939,'202643_s_at'=885.318039526949,'209508_x_at'=144.636726854781,'203149_at'=80.5655787991502,'203358_s_at'=379.932032042784,'205590_at'=254.585026591664,'206026_s_at'=18.0916757241511,'221477_s_at'=65.0179528750669,'204439_at'=20.5422854380136,'211317_s_at'=67.4115643845826,'203595_s_at'=117.827756123358,'201502_s_at'=2735.76986048386,'208436_s_at'=108.676060888528,'204385_at'=100.513393629104,'211316_x_at'=244.641790970592,'203882_at'=284.911171429247,'208485_x_at'=173.11608872791,'202086_at'=109.161499624114,'207535_s_at'=192.030147702501,'204490_s_at'=1888.06293907213,'204415_at'=46.9644043203887,'202644_s_at'=2297.58392621065,'215223_s_at'=270.342510575809,'1405_i_at'=13.7230367701884,'206025_s_at'=16.9713316622549,'205226_at'=14.5369364803758,'32541_at'=32.3701011524174,'212960_at'=38.3032546129039,'213098_at'=115.066657988959,Class=conventionalTcells,'210663_s_at'=53.6331454403623,'202907_s_at'=115.319276132584,'218656_s_at'=13.7111114007619,'210029_at'=42.1663749680351,'211862_x_at'=208.588586431349,'212841_s_at'=62.5400429631982,'215299_x_at'=98.8024017113995
Instance35:'219691_at'=25.4022916899877,'215485_s_at'=117.922926509368,'205114_s_at'=58.1280162744392,'204655_at'=145.613398407324,'208864_s_at'=92.7729469957193,'220091_at'=30.6780979622016,'205569_at'=213.527721270985,'219424_at'=47.0029693521938,'214486_x_at'=137.392100330695,'202643_s_at'=130.011911886056,'209508_x_at'=107.363601002946,'203149_at'=78.1178252396404,'203358_s_at'=37.4255461275198,'205590_at'=376.668961976024,'206026_s_at'=23.5674667416359,'221477_s_at'=35.385676567958,'204439_at'=54.4159152189109,'211317_s_at'=35.3980076018107,'203595_s_at'=107.036196544337,'201502_s_at'=182.495269160595,'208436_s_at'=67.5790387148767,'204385_at'=179.144410524378,'211316_x_at'=174.260717319815,'203882_at'=336.019883866159,'208485_x_at'=92.631665943205,'202086_at'=313.066430239844,'207535_s_at'=46.7133556342475,'204490_s_at'=72.6485059742163,'204415_at'=74.3378114930181,'202644_s_at'=384.356217470851,'215223_s_at'=70.866891888956,'1405_i_at'=15.60176878035,'206025_s_at'=19.0265569152601,'205226_at'=24.5940390192097,'32541_at'=27.6743832183053,'212960_at'=35.6826634688594,'213098_at'=89.5296353768068,Class=Tregs,'210663_s_at'=102.64165021351,'202907_s_at'=44.5804212621539,'218656_s_at'=20.0581520320347,'210029_at'=81.671425633345,'211862_x_at'=138.219749852576,'212841_s_at'=46.6980144696211,'215299_x_at'=58.7757455979675
Instance36:'219691_at'=23.1377686798629,'215485_s_at'=141.93404345878,'205114_s_at'=49.9824608844777,'204655_at'=94.573782266033,'208864_s_at'=344.844617858989,'220091_at'=31.8505529527753,'205569_at'=280.980522187172,'219424_at'=45.987681997162,'214486_x_at'=159.862358512653,'202643_s_at'=309.2588567279,'209508_x_at'=101.044195913194,'203149_at'=73.1026880454169,'203358_s_at'=33.2163052526739,'205590_at'=420.202065851104,'206026_s_at'=26.9540045281799,'221477_s_at'=50.0301506872893,'204439_at'=36.4911190015898,'211317_s_at'=59.534736449847,'203595_s_at'=141.339565260215,'201502_s_at'=619.172755207344,'208436_s_at'=52.0641660483416,'204385_at'=221.50594220412,'211316_x_at'=164.817600593704,'203882_at'=374.330525304137,'208485_x_at'=159.198051544901,'202086_at'=244.233525413794,'207535_s_at'=59.0760823831757,'204490_s_at'=113.393584238833,'204415_at'=52.4774270383475,'202644_s_at'=1157.15933396569,'215223_s_at'=103.212032581314,'1405_i_at'=27.7996349425847,'206025_s_at'=21.0597461519458,'205226_at'=21.3277932567018,'32541_at'=24.3864573155135,'212960_at'=46.7878224263435,'213098_at'=80.873659335714,Class=Tregs,'210663_s_at'=70.0601735575983,'202907_s_at'=76.5141756655275,'218656_s_at'=17.090827594087,'210029_at'=85.3525161334354,'211862_x_at'=163.340169208046,'212841_s_at'=61.3701325421331,'215299_x_at'=42.3759836336456
Instance37:'219691_at'=25.270850809429,'215485_s_at'=126.003183260751,'205114_s_at'=51.9874345551225,'204655_at'=113.987501845111,'208864_s_at'=145.305833830042,'220091_at'=30.5938950382387,'205569_at'=120.869054601664,'219424_at'=65.1616522137914,'214486_x_at'=142.747304063529,'202643_s_at'=176.818965529035,'209508_x_at'=139.49512010606,'203149_at'=81.1865059508362,'203358_s_at'=33.9130277313182,'205590_at'=285.018390222632,'206026_s_at'=30.0054381224915,'221477_s_at'=92.2331991230716,'204439_at'=97.571970278967,'211317_s_at'=61.859017291361,'203595_s_at'=118.340363196827,'201502_s_at'=392.706217087945,'208436_s_at'=62.9729417048935,'204385_at'=140.766158053439,'211316_x_at'=139.26698646897,'203882_at'=429.692223452061,'208485_x_at'=175.372561844674,'202086_at'=128.867903443931,'207535_s_at'=44.291719313467,'204490_s_at'=110.617348589223,'204415_at'=57.0439665741974,'202644_s_at'=692.17012696094,'215223_s_at'=121.174911877231,'1405_i_at'=17.0441880087503,'206025_s_at'=21.3487820947902,'205226_at'=15.1960189801588,'32541_at'=38.5772878488372,'212960_at'=38.9075487199138,'213098_at'=77.8359547106793,Class=conventionalTcells,'210663_s_at'=80.5869550592637,'202907_s_at'=105.479710915559,'218656_s_at'=16.3881373840809,'210029_at'=90.0047952540437,'211862_x_at'=141.90007693269,'212841_s_at'=50.8204600971322,'215299_x_at'=62.4232952596555
Instance38:'219691_at'=21.4745608586479,'215485_s_at'=149.204512202964,'205114_s_at'=64.1897809267619,'204655_at'=83.467576795636,'208864_s_at'=227.558689838829,'220091_at'=33.3255322756585,'205569_at'=238.310933012289,'219424_at'=79.3990748587553,'214486_x_at'=185.813195203442,'202643_s_at'=172.646292957504,'209508_x_at'=148.694439368893,'203149_at'=84.2171258367656,'203358_s_at'=41.1727755548326,'205590_at'=177.081217476335,'206026_s_at'=29.0340132903403,'221477_s_at'=48.862361790819,'204439_at'=53.700794459682,'211317_s_at'=52.8474735694619,'203595_s_at'=127.810359569634,'201502_s_at'=674.076439780716,'208436_s_at'=48.6759245311916,'204385_at'=246.429157691908,'211316_x_at'=145.793318641888,'203882_at'=338.837300428,'208485_x_at'=141.253935142051,'202086_at'=109.419978618912,'207535_s_at'=53.7851080832641,'204490_s_at'=144.725006337335,'204415_at'=55.5959147922973,'202644_s_at'=782.406340386896,'215223_s_at'=145.847118145808,'1405_i_at'=29.8985496686208,'206025_s_at'=17.5239344009916,'205226_at'=15.0805823633099,'32541_at'=24.5896431670524,'212960_at'=36.5944804286037,'213098_at'=87.6457132858848,Class=conventionalTcells,'210663_s_at'=54.0540014030609,'202907_s_at'=64.1091979142075,'218656_s_at'=16.4505550316555,'210029_at'=95.5729034215493,'211862_x_at'=171.410881985732,'212841_s_at'=58.854050312831,'215299_x_at'=62.9536710837458
Instance39:'219691_at'=28.4757918603458,'215485_s_at'=146.88046328365,'205114_s_at'=142.065244818126,'204655_at'=76.8287366111187,'208864_s_at'=263.259471226766,'220091_at'=44.2369345863136,'205569_at'=373.635516769584,'219424_at'=87.230050078836,'214486_x_at'=140.662468475032,'202643_s_at'=206.087107274012,'209508_x_at'=102.882249245352,'203149_at'=111.849708933035,'203358_s_at'=53.0513727054324,'205590_at'=974.607865763648,'206026_s_at'=16.682300187586,'221477_s_at'=53.2584412173898,'204439_at'=180.837940960959,'211317_s_at'=35.9716384710616,'203595_s_at'=116.869341300232,'201502_s_at'=994.322159926198,'208436_s_at'=74.4789693632733,'204385_at'=93.88023563223,'211316_x_at'=289.811738015655,'203882_at'=646.136729772401,'208485_x_at'=114.502522612688,'202086_at'=319.586903495789,'207535_s_at'=58.7041422616646,'204490_s_at'=236.096095808043,'204415_at'=53.8236266727238,'202644_s_at'=1489.27133806236,'215223_s_at'=158.860252767923,'1405_i_at'=27.8792116625576,'206025_s_at'=12.8753222114666,'205226_at'=16.1300742634212,'32541_at'=58.7858587718607,'212960_at'=36.9122539590481,'213098_at'=88.4525153109691,Class=conventionalTcells,'210663_s_at'=63.4723705609534,'202907_s_at'=149.347896820306,'218656_s_at'=12.0568146938538,'210029_at'=44.2669575564577,'211862_x_at'=108.359994144443,'212841_s_at'=54.4698014638335,'215299_x_at'=134.346241370521
Instance40:'219691_at'=23.1086649954762,'215485_s_at'=129.107202097899,'205114_s_at'=77.0188411421775,'204655_at'=66.4457194722527,'208864_s_at'=286.459796621778,'220091_at'=36.2668150249563,'205569_at'=302.505616093135,'219424_at'=78.4158691018895,'214486_x_at'=131.090608711844,'202643_s_at'=314.153034992756,'209508_x_at'=143.352850050022,'203149_at'=106.621714711006,'203358_s_at'=99.1162857447338,'205590_at'=635.872338245352,'206026_s_at'=19.1826349392803,'221477_s_at'=252.311081962428,'204439_at'=78.8122799536776,'211317_s_at'=46.8011360422286,'203595_s_at'=95.0950653368129,'201502_s_at'=1272.49884775197,'208436_s_at'=49.5041247976644,'204385_at'=120.507665309507,'211316_x_at'=243.520629341138,'203882_at'=342.135945184563,'208485_x_at'=213.840767324479,'202086_at'=373.286650768388,'207535_s_at'=73.206237278796,'204490_s_at'=199.480101136407,'204415_at'=69.5111484044815,'202644_s_at'=1478.71193249273,'215223_s_at'=296.154683872816,'1405_i_at'=25.711803804116,'206025_s_at'=14.191417396793,'205226_at'=27.9349474571317,'32541_at'=51.5704943430964,'212960_at'=36.0845500934654,'213098_at'=75.3917894790858,Class=conventionalTcells,'210663_s_at'=75.7283258254294,'202907_s_at'=141.002430146834,'218656_s_at'=17.9028603871051,'210029_at'=34.9622700293009,'211862_x_at'=237.007339508465,'212841_s_at'=62.2191904212799,'215299_x_at'=84.3450644119778
Instance41:'219691_at'=42.9036071073338,'215485_s_at'=181.700695087697,'205114_s_at'=35.6353814091833,'204655_at'=55.6870209869925,'208864_s_at'=189.144409608228,'220091_at'=57.3007070777623,'205569_at'=412.386491956357,'219424_at'=206.751489075373,'214486_x_at'=142.572748066919,'202643_s_at'=129.154237601643,'209508_x_at'=134.325341321551,'203149_at'=120.34812125578,'203358_s_at'=78.1269856947008,'205590_at'=544.126448275178,'206026_s_at'=16.7404452234993,'221477_s_at'=93.1507330264404,'204439_at'=108.510873248703,'211317_s_at'=37.2996758378116,'203595_s_at'=151.617875089939,'201502_s_at'=444.408202975132,'208436_s_at'=96.5825834892381,'204385_at'=129.855261080038,'211316_x_at'=210.881463257214,'203882_at'=508.485030527756,'208485_x_at'=117.106723865171,'202086_at'=839.34563803152,'207535_s_at'=70.865393742035,'204490_s_at'=179.405816089569,'204415_at'=101.311777235945,'202644_s_at'=830.042678662624,'215223_s_at'=178.304626287244,'1405_i_at'=13.254099403256,'206025_s_at'=19.8799894940787,'205226_at'=21.4797140882739,'32541_at'=35.4143968340689,'212960_at'=41.8822683289438,'213098_at'=81.0328048632568,Class=Tregs,'210663_s_at'=52.5255421920356,'202907_s_at'=55.4882231775706,'218656_s_at'=13.4915465392235,'210029_at'=44.3123255102816,'211862_x_at'=121.000479516559,'212841_s_at'=52.538861454898,'215299_x_at'=75.7146146633048
Instance42:'219691_at'=53.9187443352387,'215485_s_at'=113.556348616377,'205114_s_at'=41.8144172094426,'204655_at'=45.931508542555,'208864_s_at'=598.74919539924,'220091_at'=31.7329521436319,'205569_at'=694.879741679722,'219424_at'=136.824270800042,'214486_x_at'=136.678868761473,'202643_s_at'=263.578412573942,'209508_x_at'=152.291141011132,'203149_at'=112.783806561049,'203358_s_at'=83.161262283504,'205590_at'=885.66861470839,'206026_s_at'=25.3526908423634,'221477_s_at'=85.6018382536849,'204439_at'=58.3063224862957,'211317_s_at'=26.1829637436533,'203595_s_at'=137.750024249867,'201502_s_at'=1396.80780535371,'208436_s_at'=84.6192584144942,'204385_at'=128.204288722448,'211316_x_at'=252.571502649919,'203882_at'=510.239449442386,'208485_x_at'=145.298655343249,'202086_at'=909.239851109176,'207535_s_at'=62.741575321472,'204490_s_at'=190.618282428584,'204415_at'=82.8562180318965,'202644_s_at'=2208.51943979254,'215223_s_at'=121.047229947644,'1405_i_at'=13.3388588268762,'206025_s_at'=12.7556700035392,'205226_at'=23.112395400834,'32541_at'=35.6710244242592,'212960_at'=33.2506364606668,'213098_at'=84.9681404294003,Class=Tregs,'210663_s_at'=59.4694611419312,'202907_s_at'=78.7801265940728,'218656_s_at'=14.089830601164,'210029_at'=31.9724157653049,'211862_x_at'=129.412932135148,'212841_s_at'=70.0647140464458,'215299_x_at'=105.748897105851
Instance43:'219691_at'=26.7447165389517,'215485_s_at'=149.511411698267,'205114_s_at'=47.719144836837,'204655_at'=104.401385565318,'208864_s_at'=47.6978999788388,'220091_at'=33.7179584656684,'205569_at'=142.266113092856,'219424_at'=68.5461717464814,'214486_x_at'=111.044958463311,'202643_s_at'=150.159378624422,'209508_x_at'=96.661420031403,'203149_at'=94.9374611425329,'203358_s_at'=43.453030385861,'205590_at'=454.452905543541,'206026_s_at'=32.5460953368174,'221477_s_at'=47.2468759399976,'204439_at'=29.7677746898354,'211317_s_at'=50.9302110059804,'203595_s_at'=75.0711672560855,'201502_s_at'=132.899254704543,'208436_s_at'=40.7885755085481,'204385_at'=169.549897873786,'211316_x_at'=129.110610749674,'203882_at'=245.591411776574,'208485_x_at'=111.809293642678,'202086_at'=131.596072741754,'207535_s_at'=49.2584317590426,'204490_s_at'=90.5210291851803,'204415_at'=52.0184016211905,'202644_s_at'=599.929529544726,'215223_s_at'=77.4442217539458,'1405_i_at'=25.2583288285973,'206025_s_at'=22.1054103937221,'205226_at'=18.7277870375568,'32541_at'=29.4410260293752,'212960_at'=47.4809236314982,'213098_at'=96.1178735941371,Class=naiveTcells,'210663_s_at'=74.3278609351987,'202907_s_at'=40.7097497370377,'218656_s_at'=15.4219329536119,'210029_at'=87.6161208757175,'211862_x_at'=178.805575876264,'212841_s_at'=71.2423905003457,'215299_x_at'=60.9488423887253
Instance44:'219691_at'=28.7705129208101,'215485_s_at'=123.362207386732,'205114_s_at'=44.245481492843,'204655_at'=89.9853460184107,'208864_s_at'=25.1607364255019,'220091_at'=30.9535889166962,'205569_at'=91.0974652341667,'219424_at'=53.0011359261101,'214486_x_at'=153.429528990325,'202643_s_at'=144.603910195639,'209508_x_at'=113.157490672942,'203149_at'=83.5306299036807,'203358_s_at'=37.6388929452046,'205590_at'=395.146931270749,'206026_s_at'=35.0138792427796,'221477_s_at'=50.4777476037339,'204439_at'=39.9422590318197,'211317_s_at'=44.8363898390069,'203595_s_at'=72.0321155802052,'201502_s_at'=109.891379922101,'208436_s_at'=53.7894908751981,'204385_at'=301.971320380943,'211316_x_at'=144.031725601675,'203882_at'=178.945591407733,'208485_x_at'=177.730948589511,'202086_at'=84.7798980587904,'207535_s_at'=50.5477686767512,'204490_s_at'=103.791958334503,'204415_at'=55.5439622642537,'202644_s_at'=551.337852015282,'215223_s_at'=51.7115071330824,'1405_i_at'=26.1902554460583,'206025_s_at'=20.298983677238,'205226_at'=21.2730117305648,'32541_at'=33.0356178992119,'212960_at'=52.8729689893153,'213098_at'=81.2672019017336,Class=naiveTcells,'210663_s_at'=68.2077474300914,'202907_s_at'=45.2230331562267,'218656_s_at'=23.4995545621203,'210029_at'=79.1011629265442,'211862_x_at'=172.659492336513,'212841_s_at'=55.7497588291749,'215299_x_at'=58.2238478647476
Instance45:'219691_at'=23.8212503243933,'215485_s_at'=167.287424410582,'205114_s_at'=57.5294983642882,'204655_at'=93.7520948180277,'208864_s_at'=37.2737076881133,'220091_at'=31.5057191348721,'205569_at'=132.734933667234,'219424_at'=53.1614551329105,'214486_x_at'=159.416148339702,'202643_s_at'=234.157727683082,'209508_x_at'=138.001522181496,'203149_at'=90.0231155075437,'203358_s_at'=38.0130906129477,'205590_at'=483.32959308749,'206026_s_at'=39.3593946761054,'221477_s_at'=50.7116394428327,'204439_at'=32.9454506712411,'211317_s_at'=46.1949224647745,'203595_s_at'=82.8819985293346,'201502_s_at'=152.675569499948,'208436_s_at'=51.098952313971,'204385_at'=241.019351024487,'211316_x_at'=168.664204197465,'203882_at'=184.164135024873,'208485_x_at'=142.181159727075,'202086_at'=129.169352887354,'207535_s_at'=58.036591685278,'204490_s_at'=94.9507376351989,'204415_at'=76.6313874437683,'202644_s_at'=1206.60049326071,'215223_s_at'=103.141001650546,'1405_i_at'=19.1231583139046,'206025_s_at'=20.3110750379836,'205226_at'=17.902229487284,'32541_at'=31.1875829037271,'212960_at'=52.0703294077449,'213098_at'=66.1786581445471,Class=naiveTcells,'210663_s_at'=54.064523195643,'202907_s_at'=38.0143829442647,'218656_s_at'=15.4007460842121,'210029_at'=99.3207253109013,'211862_x_at'=126.605973488195,'212841_s_at'=67.0650642623794,'215299_x_at'=54.1669802970552
Instance46:'219691_at'=24.2907373915397,'215485_s_at'=151.573223574241,'205114_s_at'=48.9237301336235,'204655_at'=115.511180933107,'208864_s_at'=30.3407696909835,'220091_at'=29.5291591443115,'205569_at'=38.9434247258407,'219424_at'=65.8407823407392,'214486_x_at'=150.617918059058,'202643_s_at'=281.655989849816,'209508_x_at'=109.408747578758,'203149_at'=88.6742122457222,'203358_s_at'=34.0533332579529,'205590_at'=383.614552234581,'206026_s_at'=50.9908699263303,'221477_s_at'=70.557687694081,'204439_at'=50.7087045091096,'211317_s_at'=43.9344762297089,'203595_s_at'=80.9495409359123,'201502_s_at'=170.18420294298,'208436_s_at'=58.4492304728289,'204385_at'=190.603351123754,'211316_x_at'=130.092602945808,'203882_at'=161.498182551917,'208485_x_at'=108.693371166562,'202086_at'=104.050487556128,'207535_s_at'=53.1414285756811,'204490_s_at'=104.453533229221,'204415_at'=60.9932313045096,'202644_s_at'=1797.09636472716,'215223_s_at'=89.1149356874131,'1405_i_at'=31.2231471520524,'206025_s_at'=22.6322695396591,'205226_at'=18.9142098691746,'32541_at'=35.3245958824437,'212960_at'=55.6460582692695,'213098_at'=94.3694123698403,Class=naiveTcells,'210663_s_at'=81.114545328079,'202907_s_at'=38.0761949428028,'218656_s_at'=17.9984861513848,'210029_at'=93.9012857247073,'211862_x_at'=132.545546025175,'212841_s_at'=81.484969288541,'215299_x_at'=66.2763727805953
Instance47:'219691_at'=32.3514844435118,'215485_s_at'=117.390581605407,'205114_s_at'=64.6668404712385,'204655_at'=232.643927634994,'208864_s_at'=104.575532356934,'220091_at'=25.6087815005121,'205569_at'=64.2277492769733,'219424_at'=32.0820534277537,'214486_x_at'=139.704976136424,'202643_s_at'=3050.6542651715,'209508_x_at'=110.987976356082,'203149_at'=70.2280355132174,'203358_s_at'=33.8814918575326,'205590_at'=1346.04087821707,'206026_s_at'=16.8852615188796,'221477_s_at'=55.1678158636654,'204439_at'=65.4456475386657,'211317_s_at'=38.5375552185678,'203595_s_at'=128.633229355698,'201502_s_at'=2949.95106969155,'208436_s_at'=118.09491403779,'204385_at'=95.1043674417918,'211316_x_at'=159.991856479861,'203882_at'=229.872325877389,'208485_x_at'=109.469158187017,'202086_at'=308.663264901148,'207535_s_at'=95.8330055252756,'204490_s_at'=348.311946395243,'204415_at'=162.105091584571,'202644_s_at'=7931.60559983388,'215223_s_at'=342.586138557505,'1405_i_at'=136.024201230944,'206025_s_at'=17.6688958467852,'205226_at'=14.0994794067738,'32541_at'=198.303573947711,'212960_at'=40.8794994518416,'213098_at'=66.5863242410415,Class=naiveTcells,'210663_s_at'=50.6172247516991,'202907_s_at'=118.919577241806,'218656_s_at'=13.8474708262783,'210029_at'=57.8961253892689,'211862_x_at'=109.715945943792,'212841_s_at'=115.750036837095,'215299_x_at'=195.008617132577
Instance48:'219691_at'=23.1497505932775,'215485_s_at'=128.400901184567,'205114_s_at'=90.9606563664735,'204655_at'=861.229190891852,'208864_s_at'=91.2691188651233,'220091_at'=27.6349233508046,'205569_at'=44.100349412169,'219424_at'=37.1777401523974,'214486_x_at'=147.724484390984,'202643_s_at'=2485.48982811918,'209508_x_at'=116.554212254271,'203149_at'=78.575641957355,'203358_s_at'=32.5986311750164,'205590_at'=948.89289002416,'206026_s_at'=18.0410410946426,'221477_s_at'=75.544102632906,'204439_at'=25.4055343925183,'211317_s_at'=31.3007844039865,'203595_s_at'=93.30877281711,'201502_s_at'=2340.20532248057,'208436_s_at'=140.388741926175,'204385_at'=106.988692076359,'211316_x_at'=129.744382332102,'203882_at'=237.244525254581,'208485_x_at'=86.195804913089,'202086_at'=218.567192628653,'207535_s_at'=78.0479749621255,'204490_s_at'=308.923170727588,'204415_at'=190.649844047293,'202644_s_at'=6067.53143013967,'215223_s_at'=242.116486782692,'1405_i_at'=617.039832698619,'206025_s_at'=14.2979509011597,'205226_at'=14.0743668312475,'32541_at'=112.852080297354,'212960_at'=54.1887751504454,'213098_at'=76.6252971304044,Class=naiveTcells,'210663_s_at'=49.7041567531916,'202907_s_at'=93.3514196560323,'218656_s_at'=13.5760687718167,'210029_at'=74.3606981392852,'211862_x_at'=74.8687723772492,'212841_s_at'=110.063582015768,'215299_x_at'=193.191325926956
